Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-04-09,1845.4899899999998,1853.089966,1831.780029,1835.839966,1835.839966,3714400,Amazon
2019-04-10,1841.0,1848.0,1828.810059,1847.3299559999998,1847.3299559999998,2964000,Amazon
2019-04-11,1848.699951,1849.949951,1840.310059,1844.069946,1844.069946,2654800,Amazon
2019-04-12,1848.4000239999998,1851.5,1841.300049,1843.060059,1843.060059,3114400,Amazon
2019-04-15,1842.0,1846.8499760000002,1818.9000239999998,1844.869995,1844.869995,3724400,Amazon
2019-04-16,1851.3499760000002,1869.77002,1848.0,1863.040039,1863.040039,3044600,Amazon
2019-04-17,1872.9899899999998,1876.469971,1860.439941,1864.819946,1864.819946,2893500,Amazon
2019-04-18,1868.790039,1870.819946,1859.47998,1861.689941,1861.689941,2749900,Amazon
2019-04-22,1855.4000239999998,1888.4200440000002,1845.640015,1887.310059,1887.310059,3373800,Amazon
2019-04-23,1891.199951,1929.2600100000002,1889.5799559999998,1923.77002,1923.77002,4640400,Amazon
2019-04-24,1925.0,1929.689941,1898.160034,1901.75,1901.75,3675800,Amazon
2019-04-25,1917.0,1922.449951,1900.310059,1902.25,1902.25,6099100,Amazon
2019-04-26,1929.0,1951.0,1898.0,1950.630005,1950.630005,8432600,Amazon
2019-04-29,1949.0,1956.339966,1934.089966,1938.430054,1938.430054,4021300,Amazon
2019-04-30,1930.0999760000002,1935.709961,1906.949951,1926.52002,1926.52002,3506000,Amazon
2019-05-01,1933.089966,1943.640015,1910.550049,1911.52002,1911.52002,3117000,Amazon
2019-05-02,1913.3299559999998,1921.550049,1881.869995,1900.819946,1900.819946,3962900,Amazon
2019-05-03,1949.0,1964.4000239999998,1936.0,1962.459961,1962.459961,6381600,Amazon
2019-05-06,1917.97998,1959.0,1910.5,1950.550049,1950.550049,5417800,Amazon
2019-05-07,1939.9899899999998,1949.0999760000002,1903.380005,1921.0,1921.0,5902100,Amazon
2019-05-08,1918.869995,1935.369995,1910.0,1917.77002,1917.77002,4078600,Amazon
